data_notifica,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
01/01/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,2357193,0,2357187,7545,0,28.3,27.2,71.1,4,88,78,98,150,139,128,139,249,363,419,423,647,574,487,846
01/02/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,16,16,2357193,0,2357177,7545,0,28.5,27,69.5,4,86,77,101,154,140,143,126,286,373,421,485,585,579,559,867
01/03/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,42,42,2357193,0,2357151,7545,0.2,28,26.5,73.1,3.5,74,91,141,129,125,141,138,305,441,348,535,599,574,618,873
01/04/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15.5,62,62,2357193,0,2357131,7545,2.1,27.9,26.2,72.5,3.4,56,97,139,149,107,150,167,297,454,376,512,667,484,733,858
01/05/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16.8,84,84,2357193,0,2357109,7545,2.3,27.6,25.7,74.5,3.5,52,89,163,131,109,158,171,325,452,398,535,649,447,798,891
01/06/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,14.7,88,88,2357193,0,2357105,7545,3,27.6,25.5,74.2,3.6,60,83,171,125,117,148,187,339,443,400,580,603,451,829,888
01/07/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,12.9,90,90,2357193,0,2357103,7545,3.9,27.6,25.4,74.8,3.6,64,87,165,129,123,154,205,335,451,423,591,554,454,843,879
01/08/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,12.6,94,94,2357802,0,2357708,7547,4.1,27.6,25.1,75.1,3.6,78,98,150,139,128,139,249,363,419,423,647,574,487,846,927
01/09/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,8,12.3,102,102,2357802,0,2357700,7547,4.9,27.5,24.9,76.8,3.5,77,101,154,140,143,126,286,373,421,485,585,579,559,867,953
01/10/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,14,10.6,116,116,2357802,0,2357686,7547,4.9,27.6,24.8,76.2,3.6,91,141,129,125,141,138,305,441,348,535,599,574,618,873,985
01/11/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,8,118,118,2357802,0,2357684,7547,3.8,27.6,24.8,77,3.6,97,139,149,107,150,167,297,454,376,512,667,484,733,858,1006
01/12/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,7.4,136,136,2357802,0,2357666,7547,3.3,27.9,25,75.5,3.5,89,163,131,109,158,171,325,452,398,535,649,447,798,891,1048
1/13/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,88,60,12,8.6,148,148,2357802,0.68,2357654,7547,2.4,27.9,25.1,75.3,3.4,83,171,125,117,148,187,339,443,400,580,603,451,829,888,1057
1/14/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,90,64,6,9.1,154,154,2357802,0.71,2357648,7547,1.1,27.9,25.1,74.7,3.4,87,165,129,123,154,205,335,451,423,591,554,454,843,879,1069
1/15/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,88,78,18,11.1,172,172,2358411,0.89,2358239,7549,0.9,28,25.4,74.8,3.1,98,150,139,128,139,249,363,419,423,647,574,487,846,927,1035
1/16/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,86,77,7,11,179,179,2358411,0.9,2358232,7549,0.1,28.1,25.6,73.7,3.3,101,154,140,143,126,286,373,421,485,585,579,559,867,953,900
1/17/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,74,91,28,13,207,207,2358411,1.23,2358204,7549,0,28.2,25.7,73.2,3.3,141,129,125,141,138,305,441,348,535,599,574,618,873,985,873
1/18/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,56,97,8,13.9,215,215,2358411,1.73,2358196,7549,0.2,28.3,25.8,72.3,3.5,139,149,107,150,167,297,454,376,512,667,484,733,858,1006,876
