,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
12,12,8.6,148,148,2357802,0.68,2357654,7547,2.4,27.9,25.1,75.3,3.4
13,6,9.1,154,154,2357802,0.71,2357648,7547,1.1,27.9,25.1,74.7,3.4
14,18,11.1,172,172,2358411,0.89,2358239,7549,0.9,28.0,25.4,74.8,3.1
15,7,11.0,179,179,2358411,0.9,2358232,7549,0.1,28.1,25.6,73.7,3.3
16,28,13.0,207,207,2358411,1.23,2358204,7549,0.0,28.2,25.7,73.2,3.3
17,8,13.9,215,215,2358411,1.73,2358196,7549,0.2,28.3,25.8,72.3,3.5
18,10,12.7,225,225,2358411,1.71,2358186,7549,0.2,28.4,25.8,72.1,3.5
19,6,11.9,231,231,2358411,1.38,2358180,7549,0.2,28.5,26.1,72.3,3.6
20,10,12.4,241,241,2358411,1.36,2358170,7549,0.2,28.6,26.3,71.5,3.5
21,29,14.0,264,270,2359019,1.26,2358749,7551,0.2,28.6,26.1,71.0,3.5
22,10,14.4,264,280,2359019,1.31,2358739,7551,0.2,28.4,25.7,71.4,3.3
23,68,20.1,306,348,2359019,1.55,2358671,7551,0.2,28.4,25.6,71.7,3.3
24,6,19.9,292,354,2359019,1.43,2358665,7551,0.0,28.4,25.9,72.4,3.3
28,14,21.4,326,420,2359628,1.53,2359208,7553,0.0,28.5,25.9,72.1,3.3
29,14,22.0,332,434,2359628,1.52,2359194,7553,0.0,28.6,26.3,72.1,3.4
30,43,18.4,361,477,2359628,0.91,2359151,7553,0.0,28.7,26.6,72.4,3.3
31,26,21.3,385,503,2359628,1.07,2359125,7553,0.2,28.6,26.5,72.8,3.2
32,16,18.7,383,519,2359628,0.8,2359109,7553,0.2,28.3,26.2,74.3,3.0
33,8,17.9,379,527,2359628,0.73,2359101,7553,1.3,28.2,26.1,75.7,2.9
34,8,18.4,381,535,2359628,0.78,2359093,7553,1.5,28.0,26.2,76.9,2.7
35,24,19.9,387,559,2360237,0.93,2359678,7555,2.1,27.8,26.0,78.0,2.6
36,15,20.0,395,574,2360237,0.91,2359663,7555,2.1,27.7,25.8,78.0,2.7
37,28,17.9,395,602,2360237,0.97,2359635,7555,2.1,27.7,25.5,77.3,2.8
38,8,15.3,395,610,2360237,0.72,2359627,7555,2.3,27.7,25.4,77.3,2.8
39,18,15.6,403,628,2360237,0.83,2359609,7555,3.2,27.9,25.3,76.8,2.9
40,16,16.7,413,644,2360237,0.94,2359593,7555,2.1,28.0,25.3,76.1,3.0
41,14,17.6,417,658,2360237,0.95,2359579,7555,2.0,28.1,25.4,75.0,3.1
42,29,18.3,417,687,2360846,0.92,2360159,7557,1.4,28.3,25.4,74.3,3.1
43,30,20.4,437,717,2360846,1.02,2360129,7557,1.3,28.3,25.3,74.3,2.9
44,26,20.1,395,743,2360846,1.13,2360103,7557,2.7,27.9,25.1,76.5,2.6
45,17,21.4,406,760,2360846,1.4,2360086,7557,10.1,27.6,24.8,77.9,2.3
46,26,22.6,398,786,2360846,1.45,2360060,7557,13.0,27.4,24.6,79.0,2.1
62,34,47.9,694,1352,2362064,1.63,2360712,7561,9.5,26.7,23.6,81.3,2.7
63,86,51.9,751,1438,2362673,1.46,2361235,7563,9.6,26.7,23.4,81.1,2.6
64,64,53.3,785,1502,2362673,1.3,2361171,7563,9.7,26.6,23.3,81.7,2.5
65,125,63.0,884,1627,2362673,1.45,2361046,7563,9.8,26.6,23.4,81.5,2.5
66,51,64.9,918,1678,2362673,1.53,2360995,7563,9.2,26.7,23.6,81.0,2.4
67,56,64.6,948,1734,2362673,1.39,2360939,7563,4.1,27.0,23.8,79.5,2.4
68,27,63.3,969,1761,2362673,1.31,2360912,7563,3.1,27.3,24.0,78.0,2.6
69,42,64.4,991,1803,2362673,1.35,2360870,7563,6.0,27.1,24.1,79.9,2.4
77,54,60.4,1205,2280,2363891,1.01,2361611,7567,9.9,26.5,23.3,82.6,2.2
78,128,69.3,1279,2408,2363891,1.15,2361483,7567,6.0,26.9,23.7,81.3,2.2
79,102,76.4,1324,2510,2363891,1.54,2361381,7567,4.9,27.0,23.9,81.0,2.1
80,56,73.1,1342,2566,2363891,1.36,2361325,7567,4.8,27.0,24.0,80.9,1.9
