data_notifica,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2007-01-13,12,8.6,148,148,2357802,0.68,2357654,7547,2.4,27.9,25.1,75.3,3.4,83,171,125,117,148,187,339,443,400,580,603,451,829,888,1057
2007-01-14,6,9.1,154,154,2357802,0.71,2357648,7547,1.1,27.9,25.1,74.7,3.4,87,165,129,123,154,205,335,451,423,591,554,454,843,879,1069
2007-01-15,18,11.1,172,172,2358411,0.89,2358239,7549,0.9,28.0,25.4,74.8,3.1,98,150,139,128,139,249,363,419,423,647,574,487,846,927,1035
2007-01-16,7,11.0,179,179,2358411,0.9,2358232,7549,0.1,28.1,25.6,73.7,3.3,101,154,140,143,126,286,373,421,485,585,579,559,867,953,900
2007-01-17,28,13.0,207,207,2358411,1.23,2358204,7549,0.0,28.2,25.7,73.2,3.3,141,129,125,141,138,305,441,348,535,599,574,618,873,985,873
2007-01-18,8,13.9,215,215,2358411,1.73,2358196,7549,0.2,28.3,25.8,72.3,3.5,139,149,107,150,167,297,454,376,512,667,484,733,858,1006,876
2007-01-19,10,12.7,225,225,2358411,1.71,2358186,7549,0.2,28.4,25.8,72.1,3.5,163,131,109,158,171,325,452,398,535,649,447,798,891,1048,886
2007-01-20,6,11.9,231,231,2358411,1.38,2358180,7549,0.2,28.5,26.1,72.3,3.6,171,125,117,148,187,339,443,400,580,603,451,829,888,1057,854
2007-01-21,10,12.4,241,241,2358411,1.36,2358170,7549,0.2,28.6,26.3,71.5,3.5,165,129,123,154,205,335,451,423,591,554,454,843,879,1069,847
2007-01-22,29,14.0,264,270,2359019,1.26,2358749,7551,0.2,28.6,26.1,71.0,3.5,150,139,128,139,249,363,419,423,647,574,487,846,927,1035,875
2007-01-23,10,14.4,264,280,2359019,1.31,2358739,7551,0.2,28.4,25.7,71.4,3.3,154,140,143,126,286,373,421,485,585,579,559,867,953,900,1027
2007-01-24,68,20.1,306,348,2359019,1.55,2358671,7551,0.2,28.4,25.6,71.7,3.3,129,125,141,138,305,441,348,535,599,574,618,873,985,873,1079
2007-01-25,6,19.9,292,354,2359019,1.43,2358665,7551,0.0,28.4,25.9,72.4,3.3,149,107,150,167,297,454,376,512,667,484,733,858,1006,876,1034
2007-01-29,14,21.4,326,420,2359628,1.53,2359208,7553,0.0,28.5,25.9,72.1,3.3,139,128,139,249,363,419,423,647,574,487,846,927,1035,875,934
2007-01-30,14,22.0,332,434,2359628,1.52,2359194,7553,0.0,28.6,26.3,72.1,3.4,140,143,126,286,373,421,485,585,579,559,867,953,900,1027,947
2007-01-31,43,18.4,361,477,2359628,0.91,2359151,7553,0.0,28.7,26.6,72.4,3.3,125,141,138,305,441,348,535,599,574,618,873,985,873,1079,983
2007-02-01,26,21.3,385,503,2359628,1.07,2359125,7553,0.2,28.6,26.5,72.8,3.2,107,150,167,297,454,376,512,667,484,733,858,1006,876,1034,989
2007-02-02,16,18.7,383,519,2359628,0.8,2359109,7553,0.2,28.3,26.2,74.3,3.0,109,158,171,325,452,398,535,649,447,798,891,1048,886,960,1036
2007-02-03,8,17.9,379,527,2359628,0.73,2359101,7553,1.3,28.2,26.1,75.7,2.9,117,148,187,339,443,400,580,603,451,829,888,1057,854,997,1002
2007-02-04,8,18.4,381,535,2359628,0.78,2359093,7553,1.5,28.0,26.2,76.9,2.7,123,154,205,335,451,423,591,554,454,843,879,1069,847,979,1016
2007-02-05,24,19.9,387,559,2360237,0.93,2359678,7555,2.1,27.8,26.0,78.0,2.6,128,139,249,363,419,423,647,574,487,846,927,1035,875,934,1087
2007-02-06,15,20.0,395,574,2360237,0.91,2359663,7555,2.1,27.7,25.8,78.0,2.7,143,126,286,373,421,485,585,579,559,867,953,900,1027,947,993
2007-02-07,28,17.9,395,602,2360237,0.97,2359635,7555,2.1,27.7,25.5,77.3,2.8,141,138,305,441,348,535,599,574,618,873,985,873,1079,983,870
2007-02-08,8,15.3,395,610,2360237,0.72,2359627,7555,2.3,27.7,25.4,77.3,2.8,150,167,297,454,376,512,667,484,733,858,1006,876,1034,989,867
2007-02-09,18,15.6,403,628,2360237,0.83,2359609,7555,3.2,27.9,25.3,76.8,2.9,158,171,325,452,398,535,649,447,798,891,1048,886,960,1036,823
2007-02-10,16,16.7,413,644,2360237,0.94,2359593,7555,2.1,28.0,25.3,76.1,3.0,148,187,339,443,400,580,603,451,829,888,1057,854,997,1002,821
2007-02-11,14,17.6,417,658,2360237,0.95,2359579,7555,2.0,28.1,25.4,75.0,3.1,154,205,335,451,423,591,554,454,843,879,1069,847,979,1016,815
2007-02-12,29,18.3,417,687,2360846,0.92,2360159,7557,1.4,28.3,25.4,74.3,3.1,139,249,363,419,423,647,574,487,846,927,1035,875,934,1087,833
2007-02-13,30,20.4,437,717,2360846,1.02,2360129,7557,1.3,28.3,25.3,74.3,2.9,126,286,373,421,485,585,579,559,867,953,900,1027,947,993,894
2007-02-14,26,20.1,395,743,2360846,1.13,2360103,7557,2.7,27.9,25.1,76.5,2.6,138,305,441,348,535,599,574,618,873,985,873,1079,983,870,946
2007-02-15,17,21.4,406,760,2360846,1.4,2360086,7557,10.1,27.6,24.8,77.9,2.3,167,297,454,376,512,667,484,733,858,1006,876,1034,989,867,982
2007-02-16,26,22.6,398,786,2360846,1.45,2360060,7557,13.0,27.4,24.6,79.0,2.1,171,325,452,398,535,649,447,798,891,1048,886,960,1036,823,1013
2007-03-04,34,47.9,694,1352,2362064,1.63,2360712,7561,9.5,26.7,23.6,81.3,2.7,451,423,591,554,454,843,879,1069,847,979,1016,815,1111,944,1006
2007-03-05,86,51.9,751,1438,2362673,1.46,2361235,7563,9.6,26.7,23.4,81.1,2.6,419,423,647,574,487,846,927,1035,875,934,1087,833,1071,974,1012
2007-03-06,64,53.3,785,1502,2362673,1.3,2361171,7563,9.7,26.6,23.3,81.7,2.5,421,485,585,579,559,867,953,900,1027,947,993,894,1020,962,1029
2007-03-07,125,63.0,884,1627,2362673,1.45,2361046,7563,9.8,26.6,23.4,81.5,2.5,348,535,599,574,618,873,985,873,1079,983,870,946,990,953,999
2007-03-08,51,64.9,918,1678,2362673,1.53,2360995,7563,9.2,26.7,23.6,81.0,2.4,376,512,667,484,733,858,1006,876,1034,989,867,982,913,1016,949
2007-03-09,56,64.6,948,1734,2362673,1.39,2360939,7563,4.1,27.0,23.8,79.5,2.4,398,535,649,447,798,891,1048,886,960,1036,823,1013,890,1095,861
2007-03-10,27,63.3,969,1761,2362673,1.31,2360912,7563,3.1,27.3,24.0,78.0,2.6,400,580,603,451,829,888,1057,854,997,1002,821,1111,874,1055,849
2007-03-11,42,64.4,991,1803,2362673,1.35,2360870,7563,6.0,27.1,24.1,79.9,2.4,423,591,554,454,843,879,1069,847,979,1016,815,1111,944,1006,826
